query_id,query_type,doc_id,rank,tfidf_score
Q2_003,2,us-medpa-0c4f30a3b770cb833f1d800372ba103d275cb8e2,24,0.426890918
Q2_003,2,NK-PgFz2V8JKytNALJ7wVBE22,25,0.423717461
Q2_003,2,us-medpa-f9caded6a64d16950253767d5e2bef63996885d5,26,0.422184185
Q2_003,2,NK-5TRUYMcaLE2Jnn9xkTCK4d,27,0.422007614
Q2_003,2,us-medpa-86f1a0b862bf50933db9a8644d0d3e0cdb6efa22,28,0.420269219
Q2_003,2,us-medpa-6d1ed72721a18ba19c209fa56e67d7924e25a16b,29,0.419197591
Q2_003,2,NK-XjsAKyMUZBboB3ysea6r4x,30,0.415535036
Q2_003,2,us-medpa-c665b04b86c9c0d21004ca70fa82ab021e1d1297,31,0.410442434
Q2_003,2,us-medpa-d3b949539bba552c48674988db204ebd9d0d5c11,32,0.406347119
Q2_003,2,us-medpa-4c4796d49774e7548c2a7bdd6ce43ddcb64a6906,33,0.391569469
Q2_003,2,NK-G4fpkTYD6Ep7RWBVoipwm5,34,0.340083617
Q2_003,2,NK-7d3uBAaerkLEhY5VSPmYQG,35,0.313554313
Q2_003,2,NK-a9bUWoYbdy6t3k77xA8FpN,36,0.311842073
Q2_003,2,us-medpa-c6030a53449cc8ffa04c383c16a69b5bf9c740f9,37,0.309644965
Q2_003,2,NK-eHtWTowBFn5nZDBPf5H3Rd,38,0.308559417
Q2_003,2,us-medpa-f6e517b1478445679173bd1f9c349d2c6365a5cf,39,0.307050225
Q2_003,2,us-medpa-4764686b2c4e13198d7cab8fea43e09337ade952,40,0.302408382
Q2_003,2,NK-WNEk6HHxA4qSfwJdjKMBfF,41,0.301124845
Q2_003,2,NK-8kRt3qmWgXDXDvcPnMQSxj,42,0.287800872
Q2_003,2,NK-DNRc2Dr5btPtWdMMVsrZ9F,43,0.285606911
Q2_003,2,NK-c9t5vmzgxwDnW3cckvtzEd,44,0.285362209
Q2_003,2,us-occ-da758d7bcae31f431248a826563fcbffa6afb69d,45,0.283329481
Q2_003,2,NK-gG6FFFC9MVxqGrbZGaoN7n,46,0.282830273
Q2_003,2,NK-98fDmZWYSGPFdy7g2a2DZs,47,0.265875869
Q2_003,2,us-occ-e8447ec37ed0285c227202614bc91663ff5845b6,48,0.264523830
Q2_003,2,us-medpa-e8721d5ab7c600d41b4ce686f8dae21dba318404,49,0.264053403
Q2_003,2,us-sec-pause-7946d7862af37d608a5571182c841bb98dde24d4,50,0.263850651
Q2_003,2,us-occ-43605f60213ed7e900bbbbe45d9ca24ce38e59b2,51,0.259517832
Q2_003,2,us-occ-54dc3338841c9fcb479089634092424fe06c2b0c,52,0.258663809
Q2_003,2,NK-94Gc37KsLX79KDYm3n3gxv,53,0.256463037
Q2_003,2,us-occ-6adbad0202666c2641a7875d4d3a9697d8111a30,54,0.255682476
Q2_003,2,NK-mDFKSJjs53iA3FimFDCmMD,55,0.251601191
Q2_003,2,NK-G7B6rYd2SX4DNNUXxKBjyG,56,0.250635297
Q2_003,2,us-occ-b4042f206cf88067f01bd5b87752f3eb15c3bdaf,57,0.249756256
Q2_003,2,us-occ-8deb8a55e5d48d759ec7ab2e24245e002027fdf3,58,0.248717476
Q2_003,2,NK-WBCwa9wykBjYnuyRHGXDwk,59,0.247482854
Q2_003,2,us-occ-208161dccf544ef1cb6d9e23366369bbe22601c7,60,0.246684426
